Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","175","Mayotte","5110","Area","6600","Country area","2023","2023","1000 ha","36.626","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6600","Country area","2023","2023","1000 ha","195719.39","A","Official figure",""
"RL","Land Use","583","Micronesia (Federated States of)","5110","Area","6600","Country area","2023","2023","1000 ha","70","I","Value imputed by a receiving agency",""
"RL","Land Use","492","Monaco","5110","Area","6600","Country area","2023","2023","1000 ha","7.49","A","Official figure",""
"RL","Land Use","496","Mongolia","5110","Area","6600","Country area","2023","2023","1000 ha","156411.575","A","Official figure",""
"RL","Land Use","499","Montenegro","5110","Area","6600","Country area","2023","2023","1000 ha","1388.8","X","Figure from external organization",""
"RL","Land Use","500","Montserrat","5110","Area","6600","Country area","2023","2023","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","504","Morocco","5110","Area","6600","Country area","2023","2023","1000 ha","44655","I","Value imputed by a receiving agency",""
"RL","Land Use","508","Mozambique","5110","Area","6600","Country area","2023","2023","1000 ha","79938","A","Official figure",""
"RL","Land Use","104","Myanmar","5110","Area","6600","Country area","2023","2023","1000 ha","67659","I","Value imputed by a receiving agency",""
"RL","Land Use","516","Namibia","5110","Area","6600","Country area","2023","2023","1000 ha","82429","I","Value imputed by a receiving agency",""
"RL","Land Use","520","Nauru","5110","Area","6600","Country area","2023","2023","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","524","Nepal","5110","Area","6600","Country area","2023","2023","1000 ha","14718","I","Value imputed by a receiving agency",""
"RL","Land Use","528","Netherlands (Kingdom of the)","5110","Area","6600","Country area","2023","2023","1000 ha","4154","A","Official figure",""
"RL","Land Use","540","New Caledonia","5110","Area","6600","Country area","2023","2023","1000 ha","1858","I","Value imputed by a receiving agency",""
"RL","Land Use","554","New Zealand","5110","Area","6600","Country area","2023","2023","1000 ha","26771","A","Official figure",""
"RL","Land Use","558","Nicaragua","5110","Area","6600","Country area","2023","2023","1000 ha","13037","I","Value imputed by a receiving agency",""
"RL","Land Use","562","Niger","5110","Area","6600","Country area","2023","2023","1000 ha","126700","I","Value imputed by a receiving agency",""
"RL","Land Use","566","Nigeria","5110","Area","6600","Country area","2023","2023","1000 ha","92377","I","Value imputed by a receiving agency",""
"RL","Land Use","570","Niue","5110","Area","6600","Country area","2023","2023","1000 ha","26","I","Value imputed by a receiving agency",""
"RL","Land Use","574","Norfolk Island","5110","Area","6600","Country area","2023","2023","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","807","North Macedonia","5110","Area","6600","Country area","2023","2023","1000 ha","2571","I","Value imputed by a receiving agency",""
"RL","Land Use","580","Northern Mariana Islands","5110","Area","6600","Country area","2023","2023","1000 ha","46","I","Value imputed by a receiving agency",""
"RL","Land Use","578","Norway","5110","Area","6600","Country area","2023","2023","1000 ha","62450","A","Official figure",""
"RL","Land Use","512","Oman","5110","Area","6600","Country area","2023","2023","1000 ha","30950","I","Value imputed by a receiving agency",""
"RL","Land Use","586","Pakistan","5110","Area","6600","Country area","2023","2023","1000 ha","79610","A","Official figure",""
"RL","Land Use","585","Palau","5110","Area","6600","Country area","2023","2023","1000 ha","46","I","Value imputed by a receiving agency",""
